"x","y","color","pen down?","x","y","color","pen down?"
"114","0","0","true","114","0","5","true"
"115","0","0","true","115","0","5","true"
"116","0","0","true","116","0","5","true"
"117","0","0","true","117","0","5","true"
"118","0","0","true","118","0","5","true"
"119","0","0","true","119","0","5","true"
"120","0","0","true","120","0","5","true"
"121","0","0","true","121","0","5","true"
"122","0","0","true","122","0","5","true"
"123","0","0","true","123","0","5","true"
"124","0","0","true","124","0","5","true"
"125","0","0","true","125","0","5","true"
"126","0","0","true","126","0","5","true"
"127","0","0","true","127","0","5","true"
"128","0","0","true","128","0","5","true"
"129","0","0","true","129","0","5","true"
"130","0","0","true","130","0","5","true"
"131","0","0","true","131","0","5","true"
"132","0","0","true","132","0","5","true"
"133","0","0","true","133","0","5","true"
"134","0","0","true","134","0","5","true"
"135","0","0","true","135","0","5","true"
"136","0","0","true","136","0","5","true"
"137","0","0","true","137","0","5","true"
"138","0","0","true","138","0","5","true"
"139","0","0","true","139","0","5","true"
"140","0","0","true","140","0","5","true"
"141","0","0","true","141","0","5","true"
"142","0","0","true","142","0","5","true"
"143","0","0","true","143","0","5","true"
"144","0","0","true","144","0","5","true"
"145","0","0","true","145","2.4831095785198483","5","true"
"146","0","0","true","146","2.293396407182483","5","true"
"147","2.293396407182483","0","true","147","2.065604002425326","5","true"
"148","2.065604002425326","0","true","148","0.653055624085089","5","true"
"149","0.6530556240850891","0","true","149","2.22294664503382","5","true"
"150","2.22294664503382","0","true","150","1.5383150286808698","5","true"
"151","1.5383150286808698","0","true","151","1.8890966418256518","5","true"
"152","1.8890966418256518","0","true","152","2.50456247595794","5","true"
"153","2.50456247595794","0","true","153","2.50456247595794","5","true"
"154","2.497006161317828","0","true","154","2.2870829903069665","5","true"
"155","2.272120034684855","0","true","155","0.7813222801378511","5","true"
"156","0.7617547499904788","0","true","156","2.3550297981314787","5","true"
"157","2.3072766401050453","0","true","157","1.8430452915967122","5","true"
"158","1.8021560212582963","0","true","158","2.5234824480206663","5","true"
"159","2.4715729618960522","0","true","159","2.523482448020667","5","true"
"160","2.466905685639225","0","true","160","2.2205295667604847","5","true"
"161","2.176012167118647","0","true","161","0.7829135350412938","5","true"
"162","0.7555868333343816","0","true","162","2.1139341559919544","5","true"
"163","2.0554681966544726","0","true","163","2.0343011071786568","5","true"
