year; leaf_number
0,12005470800976648; 11,039800995024962
1,6620862477281495; 14,194029850746347
2,7577242936608464; 16,559701492537386
3,6907987736593784; 20,502487562189117
4,745745442529052; 23,656716417910502
5,719713241908539; 25,233830845771195
6,6528886930660365; 28,388059701492637
8,478851131794897; 33,119402985074714
9,493510308237411; 33,907960199005004
10,303904830093078; 44,94776119402991
11,398533164436124; 55,19900497512447
12,290411411576802; 63,873134328358276
13,384736832442954; 76,49004975124387
14,236024673679573; 85,16417910447768
15,12729709386646; 98,56965174129363
16,221016687778818; 115,91791044776124
17,151364946485288; 141,15174129353238
18,041324741605624; 164,80845771144286
19,05224798516642; 194,77363184079607
20,061353747865837; 238,9328358208956
20,990389381505757; 274,4179104477613
21,836729635953077; 321,7313432835822
0,8912724201868878; 11,039800995024962
7,626957463604486; 29,176616915422926
